OBJ_Critical= 0.80  0.56

      fOBJ            LF0             r0            VP1            VP2             VM            KP1            KP2             KM           Qmax            Kba           Kdes             rE            pEP           fpEM             fD             gD             Vg          alpha             KD             Yg           Ygsl           wdie          gamma           beta          WPA2D            tau          wdorm
  2.03         0.90000000     0.56096045    10.64341731     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00688134     0.02615361     1.02822709     0.20854337     0.88754920     0.09513349     0.41540309     0.16983438     0.26076910     0.00730000     4.00000000     1.98561845     0.00100000     0.07000000     0.25000000     4.00000000
  2.06         0.90000000     0.77635104     3.41824818     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00509971     0.04479757     2.37781572     0.22228363     0.97235211     0.06351428     0.45286177     0.08838135     0.34064684     0.00730000     4.00000000     2.17452664     0.00100000     0.07000000     0.25000000     4.00000000
  2.07         0.90000000     0.68391431    17.76404073     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00576059     0.04274595     2.35080707     0.62610878     0.28464868     0.06511117     0.01351445     0.27793335     0.15896497     0.00730000     4.00000000     1.07691765     0.00100000     0.07000000     0.25000000     4.00000000
  2.21         0.90000000     0.50566042    14.32466946     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00773118     0.01406437     1.48628700     0.63140044     0.89554251     0.06568376     0.11502331     0.15880714     0.14363883     0.00730000     4.00000000    17.55612121     0.00100000     0.07000000     0.25000000     4.00000000
  2.37         0.90000000     0.92764814    14.06070280     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00835960     0.00678790     1.94140184     0.29435971     0.11892704     0.02370117     0.46364753     0.06443442     0.15116081     0.00730000     4.00000000    14.43379838     0.00100000     0.07000000     0.25000000     4.00000000
  2.39         0.90000000     0.10142273     1.35142665     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00922268     0.01835861     2.37862992     0.67349571     0.63011806     0.06054005     0.48997313     0.04880568     0.11848352     0.00730000     4.00000000     6.20242362     0.00100000     0.07000000     0.25000000     4.00000000
  2.97         0.90000000     0.97242387    16.99739115     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00088240     0.01299467     0.75854707     0.20400753     0.64200782     0.04579303     0.21070015     0.01877578     0.10548708     0.00730000     4.00000000     8.92635777     0.00100000     0.07000000     0.25000000     4.00000000
  2.98         0.90000000     0.73968333    13.38483980     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00028888     0.03282026     2.07739460     0.53440599     0.91002038     0.04447680     0.47942383     0.12696938     0.12558053     0.00730000     4.00000000    17.31198194     0.00100000     0.07000000     0.25000000     4.00000000
 0.766         0.90000000     0.65906445     9.85646951     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00444587     0.01491665     0.92519369     0.87742228     0.45456263     0.01951982     0.26698865     0.45873512     0.48986676     0.00730000     4.00000000     3.62453108     0.00100000     0.07000000     0.25000000     4.00000000
 0.766         0.90000000     0.96978453     4.58539158     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00166062     0.00505369     0.96647429     0.28666052     0.59237061     0.00415538     0.33088861     0.33013081     0.34416792     0.00730000     4.00000000    11.29723694     0.00100000     0.07000000     0.25000000     4.00000000
