 Simulation_Period = 20180101 -- 20181231
       Day                         AVG & STDDEV for VAR[1:n]
  20180913            3.666262            0.003286
  20180914            3.677647            0.003281
  20180915            3.689016            0.003276
  20180916            3.700367            0.003272
  20180917            3.711701            0.003267
  20180918            3.723018            0.003262
  20180919            3.734317            0.003256
  20180920            3.745599            0.003251
  20180921            3.756863            0.003246
  20180922            3.768110            0.003241
  20180923            3.779338            0.003236
  20180924            3.790549            0.003231
  20180925            3.801741            0.003226
  20180926            3.812916            0.003220
  20180927            3.824072            0.003215
  20180928            3.835210            0.003210
  20180929            3.846329            0.003204
  20180930            3.857429            0.003199
  20181001            3.868511            0.003194
  20181002            3.879575            0.003188
  20181003            3.890619            0.003183
  20181004            3.901644            0.003177
  20181005            3.912651            0.003172
  20181006            3.923638            0.003166
  20181007            3.934606            0.003161
  20181008            3.945555            0.003155
  20181009            3.956484            0.003149
  20181010            3.967394            0.003144
  20181011            3.978285            0.003138
  20181012            3.989155            0.003133
  20181013            4.000006            0.003127
  20181014            4.010838            0.003121
  20181015            4.021649            0.003115
  20181016            4.032440            0.003110
  20181017            4.043212            0.003104
  20181018            4.053963            0.003098
  20181019            4.064694            0.003092
  20181020            4.075405            0.003086
  20181021            4.086095            0.003080
  20181022            4.096765            0.003075
  20181023            4.107415            0.003069
  20181024            4.118044            0.003063
  20181025            4.128652            0.003057
  20181026            4.139240            0.003051
  20181027            4.149807            0.003045
  20181028            4.160353            0.003039
  20181029            4.170879            0.003033
  20181030            4.181383            0.003027
  20181031            4.191867            0.003021
  20181101            4.202329            0.003015
  20181102            4.212771            0.003008
  20181103            4.223191            0.003002
  20181104            4.233590            0.002996
  20181105            4.243967            0.002990
  20181106            4.254324            0.002984
  20181107            4.264659            0.002978
  20181108            4.274972            0.002972
  20181109            4.285264            0.002965
  20181110            4.295535            0.002959
  20181111            4.305784            0.002953
  20181112            4.316011            0.002947
  20181113            4.326217            0.002940
  20181114            4.336401            0.002934
  20181115            4.346563            0.002928
  20181116            4.356703            0.002922
