 Data_Period = 20180101 -- 20180131
      Hour        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH
2018010708            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010709            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010710            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010711            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010712            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010713            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010714            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010715            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010716            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010717            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010718            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010719            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010720            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010721            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010722            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010723            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010724            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010801            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010802            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010803            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010804            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010805            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010806            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010807            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010808            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010809            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010810            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010811            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010812            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010813            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010814            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010815            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010816            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010817            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010818            0.000000           25.000000         -999.000000           -0.000726            7.200000
