 SCE-UA Results from Multiple Runs:

         LF0          r0         VP1         VP2          VM         KP1         KP2          KM        Qmax         Kba        Kdes          rE         pEP        fpEM          fD          gD          Vg       alpha          KD          Yg        Ygsl        wdie       gamma        beta       WPA2D         tau       wdorm |  CRITERION    OBJ-1:         0
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027092    0.250671    0.100022    0.060264    0.049994    0.312829    0.499992    0.599979    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2572    0.3427
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026820    0.250500    0.100011    0.054053    0.049998    0.313629    0.499995    0.599972    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2575    0.3423
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.022355    0.252007    0.100003    0.904804    0.043181    0.382958    0.499923    0.599963    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3051    0.2599    0.3503
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027916    0.251019    0.100039    0.901375    0.049973    0.306636    0.492153    0.599981    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3006    0.2583    0.3430
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.025191    0.250424    0.100069    0.862136    0.049998    0.316585    0.499960    0.599994    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3001    0.2576    0.3425
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026710    0.250281    0.100017    0.011245    0.049975    0.314020    0.499990    0.599924    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2576    0.3422
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026837    0.250130    0.100002    0.374348    0.049971    0.313892    0.499908    0.599986    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2577    0.3421
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.029030    0.250078    0.100069    0.642962    0.049983    0.305494    0.499848    0.599958    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3001    0.2527    0.3474
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026926    0.251120    0.100009    0.836305    0.049975    0.313628    0.499864    0.599995    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2576    0.3422
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027707    0.250214    0.100018    0.094314    0.049997    0.310447    0.499949    0.599991    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2557    0.3441
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.033618    0.250280    0.100003    0.056469    0.049998    0.290389    0.499952    0.599922    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3006    0.2445    0.3568
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026283    0.250280    0.100007    0.014836    0.049968    0.314682    0.499881    0.599990    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2574    0.3425
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026766    0.250168    0.100007    0.370962    0.049990    0.313826    0.499998    0.599973    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2576    0.3422
