 Data_Period = 20180801 -- 20180807
      Hour        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH
2018080604            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080605            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080606            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080607            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080608            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080609            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080610            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080611            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080612            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080613            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080614            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080615            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080616            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080617            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080618            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080619            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080620            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080621            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080622            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080623            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080624            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080701            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080702            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080703            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080704            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080705            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080706            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080707            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080708            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080709            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080710            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080711            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080712            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080713            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080714            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080715            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080716            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080717            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080718            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080719            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080720            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080721            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080722            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080723            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080724            0.000000           20.000000         -999.000000           -0.010000            7.300000
