MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
011019	0	25	0.245	-0.000726	7.3
011020	0	25	0.245	-0.000726	7.3
011021	0	25	0.245	-0.000726	7.3
011022	0	25	0.245	-0.000726	7.3
011023	0	25	0.245	-0.000726	7.3
011024	0	25	0.245	-0.000726	7.3
011101	0	25	0.245	-0.000726	7.3
011102	0	25	0.245	-0.000726	7.3
011103	0	25	0.245	-0.000726	7.3
011104	0	25	0.245	-0.000726	7.3
011105	0	25	0.245	-0.000726	7.3
011106	0	25	0.245	-0.000726	7.3
011107	0	25	0.245	-0.000726	7.3
011108	0	25	0.245	-0.000726	7.3
011109	0	25	0.245	-0.000726	7.3
011110	0	25	0.245	-0.000726	7.3
011111	0	25	0.245	-0.000726	7.3
011112	0	25	0.245	-0.000726	7.3
011113	0	25	0.245	-0.000726	7.3
011114	0	25	0.245	-0.000726	7.3
011115	0	25	0.245	-0.000726	7.3
011116	0	25	0.245	-0.000726	7.3
011117	0	25	0.245	-0.000726	7.3
011118	0	25	0.245	-0.000726	7.3
011119	0	25	0.245	-0.000726	7.3
011120	0	25	0.245	-0.000726	7.3
011121	0	25	0.245	-0.000726	7.3
011122	0	25	0.245	-0.000726	7.3
011123	0	25	0.245	-0.000726	7.3
011124	0	25	0.245	-0.000726	7.3
011201	0	25	0.245	-0.000726	7.3
011202	0	25	0.245	-0.000726	7.3
011203	0	25	0.245	-0.000726	7.3
011204	0	25	0.245	-0.000726	7.3
011205	0	25	0.245	-0.000726	7.3
011206	0	25	0.245	-0.000726	7.3
011207	0	25	0.245	-0.000726	7.3
011208	0	25	0.245	-0.000726	7.3
011209	0	25	0.245	-0.000726	7.3
011210	0	25	0.245	-0.000726	7.3
011211	0	25	0.245	-0.000726	7.3
011212	0	25	0.245	-0.000726	7.3
011213	0	25	0.245	-0.000726	7.3
011214	0	25	0.245	-0.000726	7.3
011215	0	25	0.245	-0.000726	7.3
011216	0	25	0.245	-0.000726	7.3
011217	0	25	0.245	-0.000726	7.3
011218	0	25	0.245	-0.000726	7.3
011219	0	25	0.245	-0.000726	7.3
011220	0	25	0.245	-0.000726	7.3
011221	0	25	0.245	-0.000726	7.3
011222	0	25	0.245	-0.000726	7.3
011223	0	25	0.245	-0.000726	7.3
011224	0	25	0.245	-0.000726	7.3
011301	0	25	0.245	-0.000726	7.3
011302	0	25	0.245	-0.000726	7.3
011303	0	25	0.245	-0.000726	7.3
011304	0	25	0.245	-0.000726	7.3
011305	0	25	0.245	-0.000726	7.3
011306	0	25	0.245	-0.000726	7.3
011307	0	25	0.245	-0.000726	7.3
011308	0	25	0.245	-0.000726	7.3
011309	0	25	0.245	-0.000726	7.3
011310	0	25	0.245	-0.000726	7.3
011311	0	25	0.245	-0.000726	7.3
011312	0	25	0.245	-0.000726	7.3
011313	0	25	0.245	-0.000726	7.3
011314	0	25	0.245	-0.000726	7.3
011315	0	25	0.245	-0.000726	7.3
011316	0	25	0.245	-0.000726	7.3
011317	0	25	0.245	-0.000726	7.3
011318	0	25	0.245	-0.000726	7.3
011319	0	25	0.245	-0.000726	7.3
011320	0	25	0.245	-0.000726	7.3
011321	0	25	0.245	-0.000726	7.3
011322	0	25	0.245	-0.000726	7.3
011323	0	25	0.245	-0.000726	7.3
011324	0	25	0.245	-0.000726	7.3
011401	0	25	0.245	-0.000726	7.3
011402	0	25	0.245	-0.000726	7.3
011403	0	25	0.245	-0.000726	7.3
011404	0	25	0.245	-0.000726	7.3
011405	0	25	0.245	-0.000726	7.3
011406	0	25	0.245	-0.000726	7.3
011407	0	25	0.245	-0.000726	7.3
011408	0	25	0.245	-0.000726	7.3
011409	0	25	0.245	-0.000726	7.3
011410	0	25	0.245	-0.000726	7.3
011411	0	25	0.245	-0.000726	7.3
011412	0	25	0.245	-0.000726	7.3
011413	0	25	0.245	-0.000726	7.3
011414	0	25	0.245	-0.000726	7.3
011415	0	25	0.245	-0.000726	7.3
011416	0	25	0.245	-0.000726	7.3
011417	0	25	0.245	-0.000726	7.3
011418	0	25	0.245	-0.000726	7.3
011419	0	25	0.245	-0.000726	7.3
011420	0	25	0.245	-0.000726	7.3
011421	0	25	0.245	-0.000726	7.3
011422	0	25	0.245	-0.000726	7.3
011423	0	25	0.245	-0.000726	7.3
011424	0	25	0.245	-0.000726	7.3
011501	0	25	0.245	-0.000726	7.3
011502	0	25	0.245	-0.000726	7.3
011503	0	25	0.245	-0.000726	7.3
